Short name	ligands-L	ligands-X	ligands-Z	bond number	electron count	formal charge	ligands-oxo	ligands-carbonyl	ligands-alkoxide	ligands-THF	ligands-siloxide	ligands-Cl	ligands-alkyl	ligands-imido	ligands-bpy	ligands-amide	ligands-acac	ligand-ethylene	bulk-O	bulk-Cl	bulk-Me	symmetry	formal CN	ligands-carbonyl-bin	efermi_e	efermi_slope	pe area	pe center	1st_peak_e	1st_peak_i	pca1	pca2	pca3	scaled_pca1	scaled_pca2	scaled_pca3	value_5995	value_6003	value_6037	value_6043	BL1stCharge	BLvaluesCharge	tsne_pca1_xanes	tsne_pca2_xanes	tsne_pca_scale1_xanes	tsne_pca_scale2_xanes	tsne_values1_features	tsne_values2_features	pls1_xanes_formal CN	pls2_xanes_formal CN	pls1_features_formal charge	pls2_features_formal charge	pls1_features_formal CN	pls2_features_formal CN
0.6o.1	5.0	0.0	0.0	3.0	8.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	1.0	6000.321292876629	0.5104110119638727	1.4042376200589435	5994.512697925056	6009.7162560101515	0.9498043125984713	-21.149808006779402	0.24680594748460138	0.6391936504172868	2.433749693648804	16.999035145345424	-7.454660388808902	0.22026453785958602	1.0393993705350837	1.0261221205953917	0.8750425249003457	3.724519836631283	1.5490963814409995	-1.808707092514352	5.139425842357052	-2.5674571582831627	5.514059827745655	-0.6717492938702636	1.8275308633869423	-13.344963033071727	-13.027775791520416	0.4758540515608447	-1.8401461047165493	2.358894581338028	1.715173629280299
CrO3.2					0.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	4.0	0.0	6004.196183958789	0.17129636795547376	3.1029637552565137	5993.378604493437	6012.353073721132	0.9111740419958918	-20.074277977734234	-2.9528941675031204	-1.0271628367429568	21.260358196441544	-9.911617949010342	-1.8971677738855743	0.4000367890387765	0.4222753565433844	1.123482367084431	1.0891519833961467	5.481107374357762	5.395446873693183	8.606035710535133	-4.47225597368197	9.69163317587029	-0.1912334071595451	8.696498526077821	1.1323861853599977	16.201593787650857	-2.2359979363264233	-4.82196582534847	0.3073606019577461	-3.6936466066088163	1.5478490158417257
III.5y.3	2.0	2.0	0.0	5.0	5.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	5999.956317945563	0.28022769792823543	0.654838238700475	5990.610469072532	6009.968285605885	1.0859635803265593	-20.888256173626345	0.2848551649451383	1.0266464493130523	0.2619323914300411	8.738371785176762	2.6249126229970594	0.10048650812651648	0.8163457019957275	0.9569955933902246	0.9552896661523157	3.137659515693419	3.1055858681567665	1.851478537122776	1.4497966460676834	0.38741390417147475	0.06888506509135246	0.948063117300762	0.17235319333546073	-3.8368224710259993	-1.185102024356438	0.8368003163937022	0.17550979776578357	1.3425450248773858	0.2068441967308718
III.4t.3	1.0	2.0	0.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	6000.144050768275	0.2734510029764168	0.8074840930790894	5990.64674541122	6010.072201694715	1.075482461415627	-20.935875455749994	-0.023155106701217898	1.1915763866367888	-1.1176769405208455	18.965864031950424	2.1303227936062377	0.07948229935034712	0.8054907449532274	0.9597295011532966	0.9304286574578144	3.2552347757388373	2.9820798584704105	3.051421092159609	1.323092284878666	2.5379954456330096	0.029800065172963703	1.3568874544267444	-0.2441652618001369	-7.674823156976231	-3.5582529699127203	0.8053984400756481	-0.035205727376015655	1.608744875104399	0.2740741958480197
II.6o.1	4.0	1.0	0.0	3.0	7.0	2.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	1.0	6000.500679778091	0.4620683677817654	0.33783099426950947	5991.698170223049	6009.841514632892	1.0619125648127172	-20.772638260261726	0.8604196055424091	1.4045988244043548	-12.565501867150306	6.6074374176126875	-12.773359942414407	0.12245759074582825	0.9884024303302326	0.8717736308303488	0.8460731912879604	3.1930303000093088	1.8705915547330945	-1.283093963716171	4.427424992998051	-2.9827796236058175	4.3023301548387956	-2.5186950210034103	-3.7360139693735026	-15.952379101477614	-7.910342314740532	1.729361864123786	0.2625751439446769	3.6248708166148247	1.677033462590738
II.4p.6	2.0	1.0	0.0	5.0	4.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	5995.027759622486	0.20724778711346836	0.19377401519976117	5989.07900878298	6007.799750118058	1.0635167431766948	-21.186730996228015	1.6844120023252627	-1.4517290359304944	-8.431378070383701	-9.002705203131782	6.937278418627174	0.5423074473347939	1.167024714933944	0.9369661970467225	0.984673112224134	1.98562927093871	2.0007364458599	-9.143368880528836	-0.7351682102551459	-10.001723904411525	-4.158183379730388	-8.375978906366738	5.099263229881818	1.7703726633157149	11.74395918108789	3.132513731116307	-0.37313506196140306	-0.5400308828410056	-3.6072513882087978
Cr					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	8.0	0.0	5995.990086371984	0.1224847380324996	0.010936734455380496	5987.420529764734	6008.7129414528135	0.9045743123963036	-20.394345217156285	-0.036769236512411485	-1.5569649293205385	15.584177998473223	-5.285380621772601	26.305246403446972	0.4250363313249483	0.8563931899308831	1.0521705088600086	1.0529528554282577	3.379561351763531	3.47183667674158	-7.731219468546997	2.1457097165613557	-6.7765181822459155	-4.339623695946074	-4.719554169455483	2.551530502864819	9.384402637967732	-0.7818428768770846	0.7273372441142384	-2.329340695557854	-2.908432080785897	-2.2013661720699083
md18																								0.0	5998.409622228534	0.2431934225277148	0.2149888817006445	5990.420931798496	6009.380011880832	1.0509826047174338	-20.36894146838904	1.26578505490129	0.3787372206554278	-14.047528324129843	-5.4255456360914875	-5.1263034800950384	0.255426990708181	0.9284027764452647	0.8478576267808958	0.8847035382199884	2.98106395052693	2.4698657011550362	-1.1488431334860616	1.5459770193584412	-4.835989205186837	1.211465835507035	-2.4334472077394094	-2.43953442094422	-9.054623762722077	-0.541653558555993	1.6624912570891677	0.9400866609657965	1.3946470267278295	-0.13237722765689802
II.4p.1	2.0	1.0	0.0	3.0	4.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	5995.034659950791	0.21811650392463156	0.17079236547815393	5989.644590783344	6007.684417717404	1.0483071555257975	-20.831472991915504	1.99394207033475	-1.2766019600668232	-13.507136144658784	-11.000882374741703	5.548007575118905	0.7501258371824263	1.0746231467290202	0.8970532767057328	0.959754866422411	2.0	2.400757492320233	-8.37145012183735	-1.6436172862480307	-9.874164961979252	-3.704921107286459	-9.297046828206119	3.889405576476641	-2.3818207284762765	7.217564348024532	3.0975471912529695	-0.11179070171895543	-0.5281018203737777	-3.3121670102997833
PY-CO																								0.0	5999.9464223098885	0.2784588184643013	1.1335214538812894	5992.910919198665	6010.071999721257	1.0395586432799504	-20.243249972180006	0.45506253025878585	0.6028196941713408	-11.376471247419701	-1.1871411681288078	-4.823942079884128	0.20285427814446466	0.7656203105615113	0.8703242986168118	0.8638973966014122	3.448991300263203	2.967735729180265	0.28880392031982927	0.10750820992705161	-3.806439018174721	1.325879748036067	-0.7561171513669446	-3.9199757357894276	-10.498177840459203	-4.404538110098493	0.262351610726912	1.0845143794905425	1.4422716510464817	1.2049626900147743
